length,num_words,num_urls,suspicious_words,special_char_ratio,label
1030,230,0,0,0.05916585838991271,0
479,91,0,0,0.0375,0
1245,305,0,0,0.07704654895666131,0
688,96,1,0,0.18432510885341075,1
441,91,0,0,0.06108597285067873,1
3295,592,0,3,0.03762135922330097,0
908,153,1,0,0.08690869086908691,0
7653,1384,0,2,0.031486804285341,1
613,142,0,1,0.0749185667752443,1
1822,359,0,0,0.03291278113000549,0
1474,302,0,0,0.03593220338983051,1
149,6,2,0,0.25333333333333335,0
5900,903,1,0,0.042196237925775294,0
1229,292,0,0,0.08130081300813008,0
3017,592,0,0,0.03180914512922465,0
384,74,0,0,0.023376623376623377,0
667,75,2,0,0.08832335329341318,0
1105,201,0,0,0.03345388788426763,0
1244,238,0,0,0.01927710843373494,0
9937,1338,18,1,0.10012074864157779,0
1130,268,0,0,0.0610079575596817,0
256,52,0,0,0.04669260700389105,1
718,113,2,0,0.054242002781641166,1
153,5,2,0,0.16883116883116883,0
247,52,0,0,0.06451612903225806,0
656,126,0,0,0.0182648401826484,0
435,89,0,0,0.07339449541284404,0
3701,896,0,3,0.07644516477579687,0
1027,189,0,0,0.10894941634241245,1
420,82,0,0,0.03800475059382423,0
5486,1015,0,1,0.0377255330781848,0
3,1,0,0,0.0,1
878,161,0,0,0.007963594994311717,1
2998,578,0,0,0.03134378126042014,0
1053,293,0,0,0.10436432637571158,0
1079,83,0,0,0.30833333333333335,1
992,239,0,0,0.07452165156092648,0
489,96,0,0,0.03877551020408163,1
916,138,1,0,0.13740458015267176,0
1758,360,0,0,0.047754405912450254,0
493,91,0,0,0.024291497975708502,1
676,103,2,0,0.051698670605613,1
1080,184,0,0,0.013876040703052728,1
1808,306,0,1,0.017136539524599224,0
274,46,0,0,0.06181818181818182,0
218,36,1,0,0.0502283105022831,1
2670,634,0,0,0.0943466866342194,0
354,77,0,0,0.03943661971830986,0
198,42,0,0,0.04020100502512563,1
418,87,0,0,0.021479713603818614,1
349,44,2,0,0.12857142857142856,0
271,56,0,0,0.029411764705882353,1
330,60,0,0,0.027190332326283987,0
453,79,0,0,0.10792951541850221,0
5,1,0,0,0.0,1
389,76,0,0,0.03333333333333333,0
779,148,0,0,0.029487179487179487,1
293,62,0,0,0.030612244897959183,0
3219,625,0,10,0.04627329192546584,1
221,42,0,0,0.013513513513513514,0
2585,622,0,1,0.11562258313998454,1
288,54,0,0,0.020761245674740483,1
4088,573,0,0,0.10295915871851308,0
677,87,3,0,0.08702064896755163,0
4783,904,0,0,0.025919732441471572,0
2022,254,3,0,0.16510133465150767,0
1131,176,0,0,0.061837455830388695,1
354,81,0,0,0.0676056338028169,1
2645,543,0,0,0.05328798185941043,0
180,61,0,0,0.1712707182320442,1
1380,243,0,0,0.01882693700217234,0
2358,342,4,0,0.13395506570580754,0
2373,506,0,0,0.06697556866048862,0
265,54,0,0,0.011278195488721804,0
956,179,0,0,0.01567398119122257,0
2757,490,0,0,0.030456852791878174,0
855,150,0,0,0.05724299065420561,1
1462,239,0,0,0.028024606971975393,0
833,188,0,0,0.0803357314148681,0
