length,num_words,num_urls,has_ip_url,num_exclamations,num_dollars,num_percents,special_char_ratio,upper_ratio,digit_ratio,unique_word_ratio,suspicious_words,label
1030,230,0,0,2,0,0,0.05916585838991271,0.0,0.008729388942774006,0.5194805194805194,0,0
479,91,0,0,0,0,0,0.0375,0.0,0.0,0.6521739130434783,0,0
1245,305,0,0,0,0,0,0.07704654895666131,0.0,0.05056179775280899,0.3627450980392157,0,0
688,96,1,0,1,0,0,0.18432510885341075,0.0,0.0420899854862119,0.8041237113402062,0,1
441,91,0,0,0,0,1,0.06108597285067873,0.0,0.004524886877828055,0.7065217391304348,0,1
3295,592,0,0,0,0,0,0.03762135922330097,0.0,0.01183252427184466,0.42495784148397975,4,0
908,153,1,0,0,0,0,0.08690869086908691,0.0,0.0176017601760176,0.7467532467532467,0,0
7653,1384,0,0,5,8,4,0.031486804285341,0.0,0.0169845832244578,0.4339350180505415,4,1
613,142,0,0,0,2,1,0.0749185667752443,0.0,0.019543973941368076,0.6013986013986014,2,1
1822,359,0,0,1,0,0,0.03291278113000549,0.0,0.012068019747668678,0.49722222222222223,0,0
1474,302,0,0,6,0,2,0.03593220338983051,0.0,0.007457627118644068,0.5577557755775577,2,1
149,6,2,0,0,0,0,0.25333333333333335,0.0,0.2,0.8571428571428571,1,0
5900,903,1,0,0,0,0,0.042196237925775294,0.0,0.010337230977800373,0.5586283185840708,0,0
1229,292,0,0,0,0,0,0.08130081300813008,0.0,0.02926829268292683,0.3856655290102389,0,0
3017,592,0,0,0,0,0,0.03180914512922465,0.0,0.02054340622929092,0.403035413153457,0,0
384,74,0,0,0,0,0,0.023376623376623377,0.0,0.0,0.6533333333333333,0,0
667,75,2,0,0,0,0,0.08832335329341318,0.0,0.011976047904191617,0.75,0,0
1105,201,0,0,1,0,0,0.03345388788426763,0.0,0.003616636528028933,0.6188118811881188,0,0
1244,238,0,0,0,0,0,0.01927710843373494,0.0,0.016867469879518072,0.6234309623430963,0,0
